Company Name,Original_Number,URL,is_b2b,is_b2b_reason,serves_1000,serves_1000_reason,found_number,sales_pitch,description,matched_golden_partner,match_reasoning,Industry,Matched Partner Description,Avg Leads Per Day,Rank,B2B Indicator,Phone Outreach Suitability,Target Group Size Assessment,Products/Services Offered,USP/Key Selling Points,Customer Target Segments,Business Model,Company Size Inferred,Innovation Level Indicators,Website Clarity Notes,Original Row Number,ScrapeStatus
Flexa,,http://www.flexa.energy,Yes,"Flexa builds Europe's largest virtual power plant to unlock the full potential of sustainable energy, indicating a business solution.",Yes,"The text mentions ""26,048 Customers participating"" and aims to connect multiple GWs of capacity, indicating a large scale operation.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Beratung, das sich auf digitale Transformation und Asset Management für Industrieunternehmen spezialisiert hat. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","flexa is a company building Europe's largest virtual power plant (VPP) to unlock the potential of sustainable energy. They connect numerous customers, currently at 26,048, and aim to connect multiple gigawatts of capacity. flexa's AI-based solution integrates deeply into installed hardware and connects directly to customer interfaces to control energy assets like EVs, heat pumps, and home storage systems within a decentralized energy community. This approach provides accuracy, speed, transparency, and customer satisfaction. flexa is a joint venture of Enpal and Entrix and aims to grow significantly to become Germany's biggest VPP. They manage real-time data from over 80,000 distributed energy resources using a massive sensor network and advanced machine learning models for energy demand forecasting and grid stability prediction. flexa's technology includes advanced IoT integration with real-time sensors capturing energy consumption at a circuit-level resolution, cutting-edge market intelligence with dynamic portfolio management and automated hedging strategies, and real-time risk assessment. The company is committed to advancing Sustainable Development Goals and fostering a culture of innovation and collaboration.",RODIAS GmbH,"Branchenüberschneidung: IT-Beratung für die digitale Transformation in der Industrie, insbesondere im Bereich Asset Management.; Ähnliche technologische Ausrichtung: Fokus auf IoT-Integration zur Optimierung von Prozessen und Anlagen.; Potenzielle Synergien: RODIAS bietet Lösungen für das Asset Lifecycle Management, was mit Flexas Energieanlagensteuerung zusammenhängen könnte.",Renewable Energy,"Industry: IT Consulting (specializing in digital transformation for industry, particularly maintenance and asset management); Services/Products: Customized IT solutions for maintenance, asset management, operation and dismantling of complex technical plants; Consulting services for maintenance; Free potential analysis; AI in maintenance; Predictive Maintenance; Augmented Reality for maintenance teams; Maintenance 4.0 solutions; Mobile apps for on-site maintenance; 360° Asset Lifecycle Management (consulting, implementation, service, support); Enterprise Asset Management (EAM) 4.0 solutions; Custom software development; Service & Support.; Target Audience: Industrial companies with complex technical plants requiring maintenance and asset management solutions.; Business Model: IT consulting; Project-based development of customized software solutions; Service and support (implementation, ongoing support).; Company Size: SME (General) / Medium; Innovation Level: Digital transformation; AI in maintenance; Predictive Maintenance; Augmented Reality; Maintenance 4.0; Analytics; Condition-Based Maintenance; Awarded as TOP 100 Innovator 2022.",8.0,19,True,True,Appears Large / >=500 potential,Virtual Power Plant (VPP); AI-based energy asset control; IoT integration for energy consumption monitoring; Market intelligence with portfolio management; Real-time risk assessment,AI-based solution for energy asset control; Deep integration into installed hardware; Real-time data management from distributed energy resources; Advanced machine learning for forecasting and prediction,Customers with EVs; Customers with heat pumps; Customers with home storage systems,Virtual Power Plant operator connecting distributed energy resources,SME,"Summary highlights AI-based solution, advanced machine learning models, and advanced IoT integration.",The business model and target audience are reasonably clear from the summary.,17.0,Success
,,MissingURL,,,,,,,,,Failed at URL Validation: InvalidURL,,,,,,,,,,,,,,,,
Fachseminare von Fürstenberg GmbH & Co. KG,'+49 221 9373808,http://www.fachseminare-von-fuerstenberg.de,Yes,"The company provides ""Fachanwaltslehrgänge"" (specialist lawyer courses) and ""Fachberaterlehrgänge"" (specialist consultant courses), indicating services targeted at professionals and businesses.",Yes,"The company offers online seminars and has a ""Lernplattform"" (learning platform), suggesting a scalable business model. They also mention ""Inhouse-Seminare"", indicating they serve multiple companies. The presence of 175 Dozenten also suggests a large scale operation.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Informations- und Bildungsplattformen für Steuerberater, das ebenfalls Steuerberater und Fachleute im Steuerbereich anspricht. Für dieses Unternehmen generieren wir täglich 15 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","Fürstenberg Seminare & Fachanwaltslehrgänge is a German provider of specialized seminars and training courses, particularly focusing on continuing legal education and professional development for lawyers and professionals in related fields. Their core offerings include courses for becoming certified specialists in various legal areas ('Fachanwalt'), such as labor law, inheritance law, commercial and corporate law, and tax law. They also offer courses for 'Fachberater' (specialized advisors) in areas like non-profit law, international tax law, and business succession. Furthermore, they provide certification courses in areas like Family Office management, tax criminal law, and estate administration. A significant portion of their offerings consists of continuing education ('Fortbildungen') on diverse topics, including digital transformation, AI, and current legal developments. These courses cater to lawyers, tax advisors, and other professionals seeking to enhance their expertise and qualifications. The company partners with Otto Schmidt for live seminars and offers both online and blended learning formats. They emphasize practical relevance, comprehensive knowledge transfer in a short time, and high-quality instruction by experienced professionals, including university lecturers and practitioners. Their target audience includes lawyers seeking specialist certifications, professionals needing continuing education credits, and individuals aiming to enhance their expertise in specific legal and financial domains. The business model appears to be based on direct sales of individual courses and training programs. They leverage a learning platform and offer a newsletter for updates and promotions.",Steuerköpfe.de,Gemeinsame Zielgruppe: Steuerberater und Fachleute im Steuerbereich.; Ähnliche Produkte/Services: Bereitstellung von Fachwissen und Weiterbildungsinhalten in digitalen Formaten.; Fokus auf aktuelle Informationen und praxisorientierte Lösungen für Steuerberater.,Legal Education and Professional Development,"Industry: Information and Education Platform for Tax Professionals; Services/Products: Current news; Practical blog posts; ""Kanzleifunk"" podcast (appears every 14 days on tax consulting topics); VIP-Steuerköpfe Klub (VIP Tax Heads Club) offering practice-oriented webinars, video courses, work aids, and an active community; Steuerheldenklub (Tax Heroes Club) for employees offering training materials and further education opportunities; taxflix (further education flat-rate for deepening specialist knowledge).; Target Audience: Tax advisors; Professionals in the tax field; Tax firms (Kanzleien); Employees of tax firms.; Business Model: Information platform offering free content (news, blog, podcast) and premium subscription-based services (VIP club, taxflix flat rate, employee club).; Company Size: …; Innovation Level: Provides content via modern digital formats: online platform, blog, podcast, webinars, video courses, online community, further education flat-rate. Focus on ""current"" news and ""practice-oriented"" solutions.",15.0,9,True,True,Appears Large / >=500 potential,"Courses for 'Fachanwalt' (certified legal specialist); Courses for 'Fachberater' (specialized advisor); Continuing education ('Fortbildungen') on legal topics; Certification courses (Family Office, tax criminal law, etc.)",Practical relevance; Comprehensive knowledge transfer in a short time; High-quality instruction by experienced professionals,Lawyers seeking specialist certifications; Professionals needing continuing education credits; Individuals aiming to enhance expertise in legal/financial domains; Tax advisors,Direct sales of individual courses and training programs,Unknown/Not Specified,"Continuing education ('Fortbildungen') on diverse topics, including digital transformation, AI, and current legal developments.",The business model and target audience are clearly communicated in the summary.,19.0,Success
,,MissingURL,,,,,,,,,Failed at URL Validation: InvalidURL,,,,,,,,,,,,,,,,
Agile,'+41 31 390 39 39,http://www.agile.ch,Yes,"The organization is a ""Dachverband der Selbsthilfe- und Selbstvertretungsorganisationen von Menschen mit Behinderungen"", indicating it serves other organizations, thus B2B.",Yes,"As a national umbrella organization (""Schweizer Dachverband""), it likely serves a large number of member organizations and individuals, suggesting a capacity exceeding 1,000 customers.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich E-Learning, das digitale Lernplattformen für den Gesundheits- und Sozialbereich anbietet und sich an soziale Einrichtungen richtet. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","Agile is the umbrella organization for self-help for people with disabilities in Switzerland. It represents the common interests of all people with disabilities and defends their rights. Agile focuses on self-determination, participation, and combating ableism. The organization's activities include raising awareness, advocating for interests, networking, empowerment, and knowledge transfer. Agile is funded through donations and offers opportunities for active participation. It is a Swiss umbrella organization of self-help and self-advocacy organizations of people with disabilities.",Relias Learning GmbH,"Gemeinsame Zielgruppe: Soziale Einrichtungen und Organisationen, die sich für die Belange von Menschen mit Behinderungen einsetzen.; Überschneidung im Bereich Wissenstransfer und Empowerment durch digitale Lernplattformen.; Fokus auf digitale Lösungen im Bildungsbereich für soziale Einrichtungen.",Disability Advocacy,"Industry: E-Learning; Digital Education for Healthcare and Social Services; Services/Products: Digital learning platforms; Tailored e-learning solutions for hospitals, nursing homes, social institutions, and emergency services; Online courses with interactive modules and certificates; Legally compliant digital certifications and automatic documentation for mandatory training; Personnel development with individual learning plans and competency analyses.; Target Audience: Healthcare sector (hospitals, nursing homes, medical professionals, nurses); Social care sector (social institutions, social workers); Emergency services.; Business Model: Provider of digital learning platforms and e-learning solutions (likely SaaS or subscription-based).; Company Size: SME (General); Innovation Level: Focus on ""digital"" solutions (digital further education, digital learning platforms, digital certificates, automatic documentation); E-Learning; Interactive modules; Development of digital education solutions.",8.0,6,,,Appears Large / >=500 potential,Raising awareness; Advocating for interests; Networking; Empowerment; Knowledge transfer,Focus on self-determination; Participation; Combating ableism,People with disabilities; Self-help organizations,Non-profit umbrella organization funded by donations,SME,,The business model and target audience are clearly articulated in the summary.,21.0,Success
Cambia la tua vita SAGL,,http://www.cltv1.com,Unknown,"The text ""Españoles en Alemania - Españoles en Alemania"" does not provide enough information to determine if the company is B2B or B2C.",Yes,"The phrase ""Españoles en Alemania"" suggests a service catering to a potentially large group of people (Spanish speakers in Germany), implying a scalable operation. Therefore, it is likely they can serve over 1000 customers.",,,,,Pre-qualification failed: Not_B2B,Financial Services / Consulting,,,,,,,,,,,,,,22.0,Success
Pizzaphone,'+41 26 401 21 40,http://www.pizzaphone.com,No,"The text describes a pizza delivery service, indicating it primarily serves individual consumers. Keywords: 'Pizzas à domicile', 'livraison de pizzas à domicile'.",Yes,"The company has multiple locations ('Pizzaphone Bossonnens', 'Pizzaphone Broye-Vully', etc.) and offers online ordering, suggesting a capacity to serve a large number of customers.",,,,,Pre-qualification failed: Not_B2B,Food & Beverage,,,,,,,,,,,,,,23.0,Success
,,MissingURL,,,,,,,,,Failed at URL Validation: InvalidURL,,,,,,,,,,,,,,,,
Institut für Angewandte Wirtschaftsforschung,'+49 70 7198960,http://www.iaw.edu,Yes,"The Institute for Applied Economic Research (IAW) conducts research on topics like ""Foreign trade"" and ""Firm Dynamics and Structural Change,"" indicating a focus on business-related issues.",Yes,"The IAW has ""Business Members"" and ""Institutional Cooperation Partners (national) Institutional Cooperation Partners (international)"", suggesting a large network and the capacity to serve many organizations.",,,,,LLM Partner Matching Failed or No Match Found,Economic Research,,,,,,Unknown,"IAW Expert Reports; Refereed and non-refereed publications; IAW Series (Discussion Papers, Brief Reports, Research Reports, Policy Reports, Impulse, and News); Stuttgart Area Structural Report; IAW Activity Report",,,Research Institute,SME,,"The summary clearly describes the institute's research areas and publications, but the target audience for these publications is not explicitly stated.",25.0,Success
Mentoren für Unternehmen in Schleswig-Holstein e.V.,,http://www.mentoren-sh.de,Yes,"The organization provides ""Unternehmensberatung"" (business consulting) and ""Mentoren für Unternehmen"" (mentors for companies), indicating a B2B focus.",Yes,"The text mentions supporting ""UnternehmerInnen"" (entrepreneurs) and helping companies with ""Unternehmensnachfolge / Mergers & Acquisitions"", suggesting a capacity to serve a large number of businesses. The mention of a ""Netzwerk"" (network) also implies a broader reach.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Business Process Optimization Consulting, das sich an Produktionsfirmen und Dienstleister richtet. Für dieses Unternehmen generieren wir täglich 2 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","Mentoren für Unternehmen in Schleswig-Holstein e.V. is a non-profit organization offering volunteer business consulting services in Schleswig-Holstein, Germany. Their core mission is to support entrepreneurs and businesses in the region by providing experienced mentors who offer expertise in areas such as business start-up, business optimization, company succession (including mergers & acquisitions), and sustainability. The organization targets both aspiring and established entrepreneurs, aiming to help them overcome business challenges. Their business model relies on volunteer work from experienced professionals across various industries, offering consulting services without commercial interests. They provide a broad spectrum of expertise, covering all business areas, and ensure transparency and fairness in their consulting approach. The organization aims to strengthen the regional economy of Schleswig-Holstein by fostering entrepreneurship, securing jobs through successful business successions, and promoting sustainable business practices. Their unique selling proposition lies in the combination of experienced mentors, a broad range of expertise, and the provision of volunteer-based, unbiased consulting services. They also emphasize the importance of connecting generations by facilitating the exchange between experienced experts and young entrepreneurs.",Denkmal Zukunft GmbH & Co. KG,Gemeinsame Ausrichtung auf Business Consulting und Prozessoptimierung.; Fokus auf Strategieentwicklung und Organisationsentwicklung.; Angebot von Beratungsleistungen zur Effizienzsteigerung.,Business Consulting,"Industry: Business Process Optimization Consulting; Leadership Development; Change Management Consulting; Services/Products: Production optimization & efficiency improvement; Leadership development; Team performance optimization; Strategy & vision development support; Organizational development; Change management; LEGO® SERIOUS PLAY® Workshops; Funding consultancy (support for identifying and applying for grants).; Target Audience: Production companies; Service providers. (Mentions clients like Pfizer Pharma GmbH and Stadler Deutschland, suggesting capability to serve larger enterprises).; Business Model: Service-oriented; Project-based consulting; Offers specific analyses (e.g., 3-5 day potential analysis) and hands-on implementation support.; Company Size: Unknown/Not Specified; Innovation Level: Use of LEGO® SERIOUS PLAY® (described as ""innovative workshops"" for creative problem-solving); Focus on ""future-oriented"" leadership concepts and ""future-proof"" structures; Aims for sustainable changes.",2.0,42,True,True,Appears Medium,Business start-up consulting; Business optimization consulting; Company succession consulting (including M&A); Sustainability consulting,"Experienced mentors; Broad range of expertise; Volunteer-based, unbiased consulting services; Connecting generations",Aspiring entrepreneurs; Established entrepreneurs; Businesses in Schleswig-Holstein,Volunteer-based business consulting,SME,,Business model and target group are clearly communicated in the summary.,26.0,Success
DI Wirtschaftsberatung GmbH,'+49 71 1400930,http://www.di-w.de,Yes,"The company is named 'DI Wirtschaftsberatung GmbH' and offers 'Unternehmensberatung' (business consulting), indicating B2B services.",Yes,"The text mentions 'Netzwerk' (network) and 'DI Gruppe', suggesting a broader reach than a small local business. Also, the presence of 'DI Unternehmensberatung Online' indicates a scalable online presence.",,,,,LLM Partner Matching Failed or No Match Found,Financial Consulting,,,,,True,Appears Medium,Workflow financial planning; Financing; Wealth accumulation; Insurance solutions,"Tailored solutions to specific needs; Connecting individuals with the right resources; Improving clients' security, freedom, and quality of life",Individuals,Service-oriented; Financial consulting,Unknown/Not Specified,,"The business model and offerings are clearly articulated, but the target audience could be more specific.",27.0,Success
,,MissingURL,,,,,,,,,Failed at URL Validation: InvalidURL,,,,,,,,,,,,,,,,
,,MissingURL,,,,,,,,,Failed at URL Validation: InvalidURL,,,,,,,,,,,,,,,,
,,MissingURL,,,,,,,,,Failed at URL Validation: InvalidURL,,,,,,,,,,,,,,,,
Hedi Kitas Erzbistum Berlin,'+49 30 2593650,http://www.hedikitas.de,Yes,"The company operates 'Kitas' (daycare centers), which are services provided to parents/guardians, not businesses directly. However, the text mentions being a 'staatlich anerkannter kirchlicher Träger' (state-recognized church organization), implying a larger organizational structure and potential partnerships, thus leaning towards B2B.",Yes,"The company operates multiple 'Kitas' in different locations ('Stadt, Land, Meer. Unsere Hedi Kitas sind so vielfältig und bunt wie ihre Standorte im Erzbistum Berlin – ob in Berlin, in Brandenburg oder in Vorpommern an der Küste.'), suggesting a large-scale operation capable of serving many customers.",,,,,LLM Partner Matching Failed or No Match Found,Early Childhood Education,,,,,,Appears Large / >=500 potential,Kindergartens (Kitas); Early childhood education; Childcare,Church-affiliated organization; Interreligious learning environment; Focus on Christian values; Emphasis on community and individual differences,"Parents of young children; Families in Berlin, Brandenburg, and Vorpommern",Service-based; Kindergarten operation,SME,null,The business model and target group are clearly communicated in the summary.,31.0,Success
