Company Phone,Website,Industry,# Employees,Company,original_index,is_b2b,serves_1000,sales_pitch,matched_golden_partner,match_reasoning
'+41 43 322 06 44,http://www.dreipol.ch,information technology & services,27,dreipol,19,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Beratung, das sich auf digitale Transformation im Industriesektor spezialisiert hat und massgeschneiderte Softwarelösungen für die Instandhaltung komplexer Anlagen anbietet. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",RODIAS GmbH,"Ähnliche Dienstleistungen: RODIAS bietet kundenspezifische Softwareentwicklung an, ähnlich wie Dreipol.; Gemeinsame technologische Ausrichtung: Beide Unternehmen fokussieren sich auf IT-Lösungen und digitale Transformation.; Überschneidung im Geschäftsmodell: Beide bieten projektbasierte Entwicklungsdienstleistungen an."
'+41 71 694 50 10,http://www.naegeli.ch,machinery,15,Nägeli Swiss AG,20,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Production as a Service (PaaS) und Fertigungsdienstleistungen, das sich an Unternehmen richtet, die Produktionsdienstleistungen zur Realisierung ihrer Produkte benötigen. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",assemblean,"Ähnliche Ausrichtung auf Fertigung und Produktion von Teilen und Baugruppen.; Expertise in Blechbearbeitung, CNC-Fräsen und anderen relevanten Fertigungsprozessen.; Mögliche Synergien in der Beschaffung und Herstellung von komplexen Komponenten."
'+41 91 851 98 30,http://www.geniomeccanica.ch,machinery,16,Geniomeccanica SA,22,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich digitale Logistiklösungen, das ebenfalls Unternehmen in der Logistik- und Transportbranche anspricht, die ihre Prozesse effizienter gestalten möchten. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",NxtLog,Gemeinsame Zielgruppe: Unternehmen in der Logistik- und Transportbranche.; Ähnliche Produkte/Services: Digitale Lösungen zur Optimierung von Logistikprozessen.; Fokus auf Effizienzsteigerung und Automatisierung in der Logistik.
,http://www.personalsearch.ch,staffing & recruiting,19,Personal Search AG,23,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich digitale Personalvermittlung im Gesundheitswesen, das ebenfalls Arbeitgeber im Gesundheitssektor anspricht, die qualifiziertes Personal suchen. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",MEDWING GmbH,"Direkte Überschneidung im Bereich Personaldienstleistungen.; Gemeinsame Zielgruppe: Unternehmen im Gesundheitswesen, die Personal suchen.; MEDWING bietet eine digitale Plattform für die Personalvermittlung, was gut zum digitalen Fokus von Personal Search passt."
'+41 21 343 43 60,http://www.fmpformation.com,government administration,27,FMP Formation,32,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich E-Learning und digitale Weiterbildung, das sowohl Unternehmen als auch Einzelpersonen anspricht, die sich beruflich weiterbilden möchten. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",Relias Learning GmbH,"Gemeinsame Branche: E-Learning und digitale Bildung.; Ähnliche Produkte/Services: Digitale Lernplattformen und E-Learning-Lösungen.; Überschneidende Zielgruppe: Unternehmen, die Schulungen und Weiterbildungen anbieten oder suchen."
'+41 55 225 54 54,http://www.triair.swiss,construction,15,Tri Air AG,35,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Beratung, das sich auf die Digitalisierung von Wartung und Anlagenmanagement komplexer technischer Anlagen spezialisiert hat. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",RODIAS GmbH,"Überschneidung im Bereich der technischen Anlagen: Triair bietet TGA, Reinraum- und Labortechnik, während RODIAS sich auf die Wartung und das Asset Management komplexer technischer Anlagen konzentriert.; Fokus auf Digitalisierung: Beide Unternehmen legen Wert auf Digitalisierungslösungen, Triair durch innovative Gebäudeausrüstung und RODIAS durch IT-Beratung für Wartung und Anlagenmanagement.; Mögliche Synergien im Projektgeschäft: Beide Firmen arbeiten projektbasiert und könnten gemeinsam Lösungen für komplexe technische Anlagen anbieten."
'+1 612-355-4200,http://www.pinta-elements.com,plastics,25,pinta elements,36,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Beratung, das sich auf digitale Transformation im Bereich Wartung und Anlagenmanagement für Unternehmen mit komplexen technischen Anlagen spezialisiert hat. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",RODIAS GmbH,"Überschneidung im Bereich Engineering Solutions durch die Bereitstellung von IT-Lösungen für die Instandhaltung komplexer technischer Anlagen.; Gemeinsame Zielgruppe: Unternehmen mit komplexen technischen Anlagen, die Wartungs- und Asset-Management-Lösungen benötigen.; Ähnliche Produkte/Services: RODIAS bietet kundenspezifische IT-Lösungen für Wartung, Asset Management und Betrieb."
'+41 79 960 88 01,http://www.feinheit.ch,marketing & advertising,21,Feinheit,39,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Digitalagentur, das ebenfalls Webentwicklung, Online-Marketing und Automatisierung für Unternehmen anbietet. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",Digitalagentur1,Gemeinsame Ausrichtung auf digitale Lösungen und Dienstleistungen.; Überschneidung im Bereich Webentwicklung und Online-Marketing.; Fokus auf Automatisierung und Digitalisierung von Prozessen.
'+41 41 226 70 70,http://www.missmoneypenny.ch,media production,25,Miss Moneypenny,43,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Medien, das Fachzeitschriften und Online-Marketing-Dienstleistungen für kleine und mittlere Unternehmen anbietet. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",Schlütersche Verlagsgesellschaft mbH & Co. KG,"Gemeinsame Branche: Medien (Verlagswesen und digitale Marketingdienstleistungen); Ähnliche Produkte/Services: Fachzeitschriften, Bücher und Online-Medien sowie Online-Marketing-Dienstleistungen für KMUs; Gemeinsame Zielgruppe: Kleine und mittlere Unternehmen (KMUs) in Deutschland"
'+41 58 317 18 18,http://www.axius.ch,business supplies & equipment,28,Axius SA,45,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Print- und Mail-Automatisierung, das ebenfalls Unternehmen mit hohem Druck- und Versandvolumen anspricht. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",BlueCrest Inc.,Gemeinsame Ausrichtung auf Büroautomatisierung und Dokumentenmanagement.; Ähnliche Produkte/Services: Automatisierung von Druck- und Mailprozessen.; Fokus auf Softwarelösungen zur Effizienzsteigerung.
'+41 44 251 51 74,http://www.flussbau.ch,environmental services,15,Flussbau AG SAH,46,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Software für Bauingenieurwesen, das eine App für digitale Vermessung und Navigation anbietet und sich an Bauunternehmen im Tiefbau richtet. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",SitePlan GmbH,Gemeinsame Branche: Bauingenieurwesen/Bautechnik.; Ähnliche Dienstleistungen: Digitale Vermessung und Navigation.; Technologiebezug: Nutzung von GPS und GNSS-Technologie.
,http://www.bpm.ch,information technology & services,16,bpm consult ag,48,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Medien und Verlagswesen, das ebenfalls kleine und mittelständische Unternehmen (KMU) anspricht. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",Schlütersche Verlagsgesellschaft mbH & Co. KG,"Gemeinsame Zielgruppe: Kleine und mittelständische Unternehmen (KMU).; Dienstleistungen: Online-Marketing-Services für KMU, einschließlich Website-Erstellung und SEO.; Branchenüberschneidung: Medien (Verlagswesen) und IT-Dienstleistungen."
'+41 55 462 35 35,http://www.limec-solution.com,international trade & development,18,Limec Solution GmbH,49,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Beratung und Softwareentwicklung für die Wartung und das Asset Management, das sich an industrielle Partner richtet. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",RODIAS GmbH,"RODIAS GmbH bietet IT-Beratung und kundenspezifische IT-Lösungen für die Wartung und das Asset Management komplexer technischer Anlagen, was eine Überschneidung mit den angebotenen kundenspezifischen Komponenten und Baugruppen von Limec darstellt.; Beide Unternehmen zielen auf industrielle Partner ab.; RODIAS GmbH bietet Lösungen für die digitale Transformation in der Industrie, was mit dem Fokus von Limec auf globale Produktion und kundenspezifische Lösungen übereinstimmt."
,http://www.bildungsnetzzug.ch,education management,18,BildungsNetz Zug,51,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich E-Learning und digitale Bildung, das sich auf den Gesundheits- und Sozialbereich konzentriert und ebenfalls Fachkräfte im Sozialwesen und im Gesundheitswesen unterstützt. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",Relias Learning GmbH,Gemeinsame Zielgruppe: Unterstützung von Fachkräften im Sozialwesen und im Gesundheitswesen.; Ähnliche Dienstleistungen: Digitale Lernplattformen und E-Learning-Lösungen.; Fokus auf die berufliche Weiterbildung und Kompetenzentwicklung junger Menschen.
'+41 56 430 21 20,http://www.simog.ch,construction,17,Simog Systembau AG,52,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Dienstleistungen und Gebäudetechnik, das sich auf die Installation und Wartung von IT-Systemen und innovativen Schwesternrufsystemen in Seniorenresidenzen und Pflegeeinrichtungen spezialisiert hat. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",visitronic GmbH,"Gemeinsame Zielgruppe: Einrichtungen des Gesundheitswesens (Seniorenresidenzen und Pflegeeinrichtungen); Ähnliche Dienstleistungen: Installation und Wartung von Systemen, insbesondere innovative Schwesternrufsysteme; Überschneidung im Bereich der Gebäudetechnik und IT-Systeme"
'+41 41 925 81 41,http://www.grueterag.ch,construction,16,Grüter Hans AG,55,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Software für Bauingenieurwesen, das ebenfalls Bauunternehmen im Baugewerbe anspricht. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",SitePlan GmbH,"Überschneidung im Bereich Bautechnologie.; SitePlan bietet Software für Bauingenieurwesen, während Grütter AG Heizungs-, Sanitär- und Lüftungslösungen anbietet, was auf potenzielle Synergien hinweist.; Beide bedienen Kunden im Baugewerbe."
'+41 31 311 23 11,http://www.diacova.ch,human resources,19,DIACOVA AG,60,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Personalberatung, das sich auf die Vermittlung von Fachkräften im Gesundheitswesen und interkulturelles Training für B2B-Kunden spezialisiert hat. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",MS Company Solutions GmbH,"Direkte Überschneidung im Bereich Personaldienstleistungen.; Fokus auf B2B-Kunden, ähnlich der Zielgruppe von Diacova.; Angebot von interkulturellem Training, was für Organisationen im Wandel relevant ist."
'+41 22 566 77 82,http://www.csdk.ch,architecture & planning,22,CSDK Architectes,61,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Construction Tech, das eine App für digitale Vermessung und Navigation im Tiefbau anbietet und sich an Bauunternehmen richtet. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",SitePlan GmbH,Ähnliche technologische Ausrichtung: Fokus auf digitale Lösungen im Bauwesen.; Überschneidung bei Dienstleistungen: 3D-Modelle und Projektmanagement-Tools.; Gemeinsame Zielgruppe: Bauunternehmen und Projektmanager.
'+41 27 345 46 47,http://www.evequoz.ch,civil engineering,24,Evequoz SA,62,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Software für Bauingenieurwesen, das sich an Bauunternehmen im Tiefbau richtet. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",SitePlan GmbH,Gemeinsame Branche: Baugewerbe/Bautechnologie.; Ähnliche Dienstleistungen/Produkte: Software für Bauingenieurwesen und Vermessung.; Zielgruppe: Bauunternehmen
'+41 62 388 97 97,http://www.igus.ch,plastics,27,igus Schweiz GmbH,63,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Automatisierungstechnik, das ebenfalls Unternehmen in verschiedenen Industriezweigen anspricht, die Automatisierungslösungen benötigen. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",project Service & Produktion GmbH,"Ähnliche Industrie: Automatisierungstechnologie und Verpackungstechnologie; Überschneidung bei Produkten/Services: Automatisierungslösungen und Fördertechnik; Gemeinsame Zielgruppe: Unternehmen in verschiedenen Industriezweigen, die Automatisierungslösungen benötigen"
'+41 56 675 45 45,http://www.algragroup.ch,machinery,25,Algra Group,66,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Beratung, das sich auf digitale Transformation im Industriesektor spezialisiert hat und Unternehmen mit komplexen technischen Anlagen anspricht. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",RODIAS GmbH,Überschneidung im Bereich Industrie und Automation.; Fokus auf digitale Transformation und IT-Lösungen für komplexe technische Anlagen.; Potenzielle Synergien bei der Integration von Sensoren und industriellen Zeichen in IT-Systeme.
'+41 71 923 08 58,http://www.glarotech.ch,information technology & services,18,Glarotech GmbH,67,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Digitales Marketing, das ebenfalls Webdesign und SEO für andere Unternehmen anbietet. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",PNP Media,"Gemeinsame Ausrichtung auf E-Commerce-Entwicklung und Webdesign.; Überschneidung im Bereich des digitalen Marketings, insbesondere SEO und Online-Marketing.; Beide bedienen Unternehmen als Zielgruppe."
'+41 32 424 48 00,http://www.artionet.ch,information technology & services,15,Artionet.Group,70,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für eine Digitalagentur, die ebenfalls Unternehmen bei Webentwicklung, E-Commerce und Online-Marketing unterstützt. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",Digitalagentur1,"Gemeinsame Branche: Beide sind Digitalagenturen.; Ähnliche Dienstleistungen: Webentwicklung, E-Commerce, SEO und Online-Marketing.; Überschneidende Zielgruppe: Beide bedienen Unternehmen."
'+41 56 648 28 00,http://www.andfrank.com,marketing & advertising,15,andfrank,72,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für eine Digitalagentur aus dem Bereich Marketing, die ebenfalls Unternehmen bei Branding, Webdesign und Performance Marketing unterstützt. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",PNP Media,"Gemeinsame Branche: Digitale Marketing Agentur.; Ähnliche Dienstleistungen: Webdesign, SEO, SEA, Performance Marketing.; Fokus auf Branding und Printmaterialien, was eine Überschneidung mit Brand Communication darstellt."
'+49 821 749460,http://www.kfz-innung-schwaben.de,automotive,20,Kfz-Innung Schwaben,73,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Medien und Online-Marketing, das ebenfalls kleine und mittlere Unternehmen (KMU) im Bereich Automotive & Mobility anspricht. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",Schlütersche Verlagsgesellschaft mbH & Co. KG,"Gemeinsame Zielgruppe: Kleine und mittlere Unternehmen (KMU); Branchenüberschneidung: Automotive & Mobility (Kfz-Innung Schwaben) und Medien für Handwerk, Bau, Industrie; Ähnliche Dienstleistungen: Online-Marketing-Services für KMU"
'+41 41 874 12 73,http://www.altdorf.ch,government administration,29,Gemeinde Altdorf UR,75,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Digitales Marketing, das Webdesign und Online-Marketing-Dienstleistungen für Unternehmen anbietet. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",PNP Media,"PNP Media bietet Webdesign und Entwicklung an, was für eine Gemeinde relevant ist, um ihre Online-Präsenz zu gestalten.; PNP Media bietet SEO und Online-Marketing-Dienstleistungen an, um die Sichtbarkeit der Gemeinde zu erhöhen.; PNP Media bietet Dienstleistungen im Bereich Branding und Printmaterialien an."
